紫色字體為拓荒者計畫之學校，錄取該校且符合獎學金資格者，優先補助,,,,,Last Update:,2021/5/13,,
"*排名資料來源為QS World University Rankings 2021 (交大 World: 240, Asia: 44)",,,,,***系所年級限制為出國交換當時必須符合之條件(非提出申請時),,,
**名額、語言能力限制及成績限制等資訊以各姐妹校最新公告為準，但校內甄選時申請者須符合此表所列之限制，方可選填各校,,,,,,,,
"編號
No.","國家
Country","學校
Institution","排名*
Ranking","名額**
Quota","系所年級限制***
Eligibility","語言能力限制***
Language Requirement","成績限制***
Grade Requirement","備註
Remarks"
CN01,"China
大陸地區","Shanghai University
上海大學",387,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"至少在原學校修業滿一年者
Applicants should at least complete one academic year at home university"
,,,,,,,,不接受陸籍學生 Students from Mainland China are not accepted
,,,,,,,,參考網頁 Link
,,,,3/sem.,"人社院研究所學生
Humanities & Social Science PG students",,,"赴該校文學院交換
Exchange to the School of Liberal Arts"
CN02,"China
大陸地區","Shanghai Jiao tong University
上海交通大學",47,15/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
,,,,2/sem.,"人社院研究所學生(限非設計領域)
Humanities & Social Science PG students",,,"赴該校媒體與設計學院交換;不接受設計領域學生
Exchange to the school of  Media & Design;
Won't accept the students from design area"
CN03,"China
大陸地區","Dalian University of Technology
大連理工大學",591-600,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
CN04,"China
大陸地區","University of Science and Technology of China
中國科學技術大學",93,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"應屆畢業與陸籍學生不得申請；外籍大學部學生須會中文
Final year and Chinese students cannot apply; international UG students need to know Chinese"
CN05,"China
大陸地區","China Academy of Art
中國美術學院",N/A,1,"人社院研究所二年級以上學生
PG Yr. 2 above students in College of Humanities & Social Sciences",,,"僅限研究所學生申請；台灣籍為佳，應屆畢業生可
For PG students only; prefers Taiwanese students; final year students are acceptable"
CN06,"China
大陸地區","Peking University
北京大學",23,4,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍學生不得申請
Students from China cannot apply"
,,,,1 student,"管院大學部二年級以上及研究所學生
UG Yr.2 above & PG students of the College of Management",,,"陸籍學生不得申請Students from China cannot apply
交換至光華管理學院Exchange to Guanghua Management School"
CN07,"China
大陸地區","Beijing University of Technology
北京工業大學",651-700,2/sem.,"全校大學部學生
U-wide UG students",,,"自費交換，僅限大學部學生
Fee-paying exchange; UG students only"
CN08,"China
大陸地區","Beijing Jiaotong University
北京交通大學",751-800,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請
Non-local students cannot apply"
,,,,3/sem.,"科法院研究所學生
PG students of the School of Law",,,"交換至該校法學院
Exchange to the School of Law"
CN09,"China
大陸地區","Beihang University
北京航空航天大學",449,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"外籍學生不得申請(陸、港、澳籍學生可) International students cannot apply (except students from China, Hong Kong and Macau)"
CN10,"China
大陸地區","Beijing University of Posts & Telecommunications
北京郵電大學",N/A,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"至少在原學校修業滿一年者
Applicants should at least complete one academic year at home university"
CN11,"China
大陸地區","Sichuan University
四川大學",531-540,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請
Non-local students cannot apply"
CN12,"China
大陸地區","Jilin University
吉林大學",493,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"外籍學生不得申請
International students cannot apply"
CN13,"China
大陸地區","Tongji University
同濟大學",256,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,GPA3.0,"非本國籍不得申請
Non-local students cannot apply"
CN14,"China
大陸地區","Xi’an Jiaotong University
西安交通大學",303,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍與外籍學生不得申請(港、澳籍學生可)
International & Mainland Chinese students cannot apply (HK and Macau students are OK)
春季班暫不收研究生, 學士應屆畢業生, 或是延畢生申請
For spring semester, master degree students, final-tear bachelor degree students or postpone-graduate students cannot apply."
CN15,"China
大陸地區","Southwest Jiaotong University
西南交通大學",N/A,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"春季班僅接受研究生申請
Spring sem. only accepts PG students"
CN16,"China
大陸地區","Southeast University
東南大學",493,2/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請；生醫工程、醫、公衛、建築學院不接受交換
Non-local students cannot apply; Biomed Eng, Medicine, Public Health & Archi. are restricted"
CN17,"China
大陸地區","Chang'An University
長安大學",N/A,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"此為自費交換計畫，學生須自行負擔兩校學費
Fee-paying exchange program, students are required to pay tuition at both universities"
CN18,"China
大陸地區","Nanjing University
南京大學",124,10/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請
Non-local students cannot apply"
CN19,"China
大陸地區","Harbin Institute of Technology
哈爾濱工業大學",260,5/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍學生可，但須會中文；陸籍學生不得申請
Accepts international students with Chinese ability. Students from China cannot apply"
CN20,"China
大陸地區","Chongqing University
重慶大學",751-800,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,
CN21,"China
大陸地區","Zhejiang University
浙江大學",53,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本地生不得申請
Non-local students cannot apply"
CN22,"China
大陸地區","Tsinghua University
清華大學",15,2,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"非本國籍不得申請；MBA及畢業班級不接受交換(不接受畢業前一學期)
Non-local students cannot apply; MBA program and final-year classes are restricted"
CN23,"China
大陸地區","Fudan University
復旦大學",34,4,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"僅限本地生申請
Only local students can apply
管理學院研究所及其他專業學位不開放申請
School of Management PG program and other professional degrees do not accept application"
CN24,"China
大陸地區","Huazhong University of Science & Technology
華中科技大學",400,3/sem.,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,,"陸籍學生不得申請
Students from China cannot apply"
CN25,"China
大陸地區","Central China Normal University
華中師範大學",N/A,2/sem.,"人社院大學部二年級以上及研究所學生
UG Yr. 2 above & PG students in College of Humanities & Social Sciences",,,"可交換至外國語學院、教育學院、音樂學院、新聞傳播學院
1. 可接受大陸籍學生報名交換生，但是否錄取要看當年競爭情況。2. 不太建議應屆畢業生報名交換生項目，因從經驗來看，學生選課積極性不高，沒有充分發揮資源，選派非應屆畢業學生更加有益。"
