編號No.,Country,國家,學校,Institution,排名Ranking,名額Quota,系所年級限制Eligibility,語言能力限制Language Requirement,成績限制Grade Requirement,
CN01,China,大陸地區,Shanghai University,上海大學,387,2/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN01,China,大陸地區,Shanghai University,上海大學,387,3/sem.,人社院研究所學生Humanities & Social Science PG students,,,
CN02,China,大陸地區,Shanghai Jiao tong University,上海交通大學,47,15/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN02,China,大陸地區,Shanghai Jiao tong University,上海交通大學,47,2/sem.,人社院研究所學生(限非設計領域)Humanities & Social Science PG students,,,
CN03,China,大陸地區,Dalian University of Technology,大連理工大學,591-600,5/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN04,China,大陸地區,University of Science and Technology of China,中國科學技術大學,93,5/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN05,China,大陸地區,China Academy of Art,中國美術學院,N/A,1,人社院研究所二年級以上學生PG Yr. 2 above students in College of Humanities & Social Sciences,,,
CN06,China,大陸地區,Peking University,北京大學,23,4,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN06,China,大陸地區,Peking University,北京大學,23,1 student,管院大學部二年級以上及研究所學生UG Yr.2 above & PG students of the College of Management,,,
CN07,China,大陸地區,Beijing University of Technology,北京工業大學,651-700,2/sem.,全校大學部學生U-wide UG students,,,
CN08,China,大陸地區,Beijing Jiaotong University,北京交通大學,751-800,3/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN08,China,大陸地區,Beijing Jiaotong University,北京交通大學,751-800,3/sem.,科法院研究所學生PG students of the School of Law,,,
CN09,China,大陸地區,Beihang University,北京航空航天大學,449,5/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN10,China,大陸地區,Beijing University of Posts & Telecommunications,北京郵電大學,N/A,2/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN11,China,大陸地區,Sichuan University,四川大學,531-540,5/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN12,China,大陸地區,Jilin University,吉林大學,493,10/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,,
CN13,China,大陸地區,Tongji University,同濟大學,256,10/sem.,全校大學部二年級以上及研究所學生U-wide UG Yr.2 above & PG students,,GPA3.0,
